longitude,latitude,Length,Width,Draft,target_longitude,target_latitude
-0.5451140498568239,0.2416090375608555,0.9406043790180854,0.6608417259242138,0.480096699607633,-0.4637508313399288,0.5375484030300066
-0.4566497280266825,0.5061048219741313,-0.7167903098620926,-0.0410706122763934,-1.1064082159690116,-0.4149761691690654,0.6512654784266039
0.4474988543174703,0.6891182036945283,0.6412499009064512,0.2802492580998845,0.6597450503420472,0.5805122929383967,0.0402603427205849
-0.1951669304997268,0.921597642256688,1.0306286760127206,0.8480183494443758,0.9980438926341256,0.1770121735368159,0.8852306059457855
1.149645923375315,-0.6383903486296479,1.0018209009744374,0.75650977794563,1.0330403245953754,1.130134032434056,-0.5821162888774517
0.1412120142190077,1.2011183351977863,1.0021999506459938,0.7877058818656567,0.9163855513912104,-0.1875384671097023,1.9468034817921025
-0.199667379235127,1.9553607632059204,1.7821894122910908,1.7017517267224471,1.1730260524403733,-1.2323231331781233,1.812226657577364
2.6418139324273557,0.822529934643752,-0.860829185053509,-0.5818030802235278,-0.1731700303356912,2.64317032258186,0.8356715703929612
1.401629481506659,-0.4572508775645556,-1.0129228657654978,-1.626872561544432,-1.1064082159690116,1.4048903870181777,-0.4777891751441411
0.1807228965631347,1.1633283941623325,-0.869357802663527,-0.794976457010379,-1.1064082159690116,0.1807239300926166,1.163411830360178
-0.7035513732281654,-1.092838548444893,-0.8887840983307904,-1.626872561544432,-1.1064082159690116,-0.7033189123882743,-1.0912537627474626
-0.6537362536638861,-1.0164862432668933,-0.8309790234184458,-0.6805907426369467,-1.1064082159690116,-0.6532056620560213,-1.0154510256472151
-0.6409538322061762,-0.3750665926601699,-0.9092527805948336,-1.065342690983946,-1.1064082159690116,-0.9912992742759404,-1.2456989626030566
-0.7032300396214763,-1.0915433240935166,-0.8887840983307904,-1.626872561544432,-1.1064082159690116,-0.7204817584596227,-1.153436953359886
-0.507687426719834,1.686036769784663,1.11809438772435,1.2899631549780914,1.0330403245953754,-1.1787119216936193,1.7717943388717912
0.3880388257144062,-1.015131388537703,0.7416033014509971,0.6608417259242138,0.7134062460159631,0.366021662920688,-1.0369545549287356
-0.0574835318594063,0.9614544806718904,1.7821894122910908,1.7017517267224471,0.8883884058222109,-0.1512783673615912,0.967348379092664
-0.6569583347076734,-1.0228769261148605,-0.8309790234184458,-0.6805907426369467,-1.1064082159690116,-0.6780560849894914,-1.0489039321212843
-0.6594963185826069,-1.02734035446502,-0.8994922515522574,-1.626872561544432,-1.1064082159690116,-0.6486992523958902,-1.0050649623449768
-0.2762760013916026,-0.5329635015887029,-0.9188237848016318,-1.075741392290622,-1.1064082159690116,-0.2762553307053214,-0.5329426633706329
-0.2371964165703179,1.6717523388929934,0.7452042733307824,0.8459386091830406,1.2920139211086217,-0.0754184582066654,1.5032278424515808
0.6570680963931413,-0.959513038542255,-0.6871296730628076,-0.231366846188558,0.1744611938127206,0.4999161342278425,-0.2800135568559252
-0.2763528495406803,-0.5329777346835773,-0.9188237848016318,-1.075741392290622,-1.1064082159690116,-0.2762605118188073,-0.5329515225874252
1.144835273305116,-0.6554369270913318,1.0018209009744374,0.75650977794563,1.0330403245953754,1.149645923375315,-0.6383903486296479
-0.6305976622739435,-0.3983044910872315,0.9965142055726484,0.8469784793137081,1.037706515523542,-0.6091340078006898,-0.7504999687745512
-0.5887883849422054,-1.056696821345485,-0.8463305351164783,-0.6805907426369467,-1.1064082159690116,-0.5861962633411766,-1.0465039687113729
-0.1729134946507629,0.9427019456178864,1.7821894122910908,1.7017517267224471,1.315344875749455,-0.1945419928668264,0.9251292189143836
